FBtr0340359,CG5174
FBtr0301148,CG5174
FBtr0086684,CG5174
FBtr0306637,CG5174
FBtr0301149,CG5174
FBtr0344076,CR44999
FBtr0086600,CG15107
FBtr0331978,CG15107
FBtr0335500,CR44146
FBtr0339587,CR44313
FBtr0078769,RpL35A
FBtr0070712,CG7024
FBtr0343263,CG9815
FBtr0343264,CG9815
FBtr0072024,CG9815
FBtr0113111,CG9815
FBtr0086415,5SrRNA:CR33423
FBtr0333452,CG15822
FBtr0333450,CG15822
FBtr0333451,CG15822
FBtr0300831,CG15822
FBtr0076303,scramb1
FBtr0076302,scramb1
FBtr0076301,scramb1
FBtr0077098,Txl
FBtr0070552,CG3598
FBtr0075818,Vps36
FBtr0088789,Gasz
FBtr0304960,CG43121
FBtr0075249,ND-24L
FBtr0084104,Rab1
FBtr0336657,CR44164
FBtr0336911,CG11125
FBtr0088974,CG11125
FBtr0100360,CG7255
FBtr0110880,CG7255
FBtr0334105,CG7255
FBtr0301185,CG7255
FBtr0110881,CG7255
FBtr0336928,Eglp2
FBtr0072107,Eglp2
FBtr0085786,CG1607
FBtr0085785,CG1607
FBtr0334549,CG1607
FBtr0334550,CG1607
FBtr0344641,CR43247
FBtr0340191,CG2691
FBtr0073848,CG2691
FBtr0078387,SAK
FBtr0087487,Sin1
FBtr0083735,CG31475
FBtr0332539,CG31475
FBtr0077790,CG3557
FBtr0331440,CG3557
FBtr0331439,CG3557
FBtr0346745,CR45773
FBtr0332780,CR43868
FBtr0332781,CR43868
FBtr0082634,trus
FBtr0079612,CG7810
FBtr0087980,Drep3
FBtr0087979,Drep3
FBtr0072044,CG30412
FBtr0343206,CG30412
FBtr0072043,CG30412
FBtr0309507,CR43483
FBtr0075225,CG13733
FBtr0089299,tRNA:Tyr-GTA-1-2
FBtr0112489,CG34293
FBtr0339263,CG34293
FBtr0301018,CG32181
FBtr0073866,tRNA:Ser-AGA-3-2
FBtr0302526,CG42364
FBtr0100009,drd
FBtr0089901,Pten
FBtr0089902,Pten
FBtr0300562,Pten
FBtr0089900,Pten
FBtr0089904,Pten
FBtr0301521,Pten
FBtr0089905,Pten
FBtr0345390,Gbs-76A
FBtr0331425,Gbs-76A
FBtr0332155,Gbs-76A
FBtr0075014,Gbs-76A
FBtr0078874,CG14658
FBtr0083452,Brf
FBtr0302317,Brf
FBtr0333248,pgant4
FBtr0114524,pgant4
FBtr0273385,CG8213
FBtr0339307,CG8213
FBtr0273384,CG8213
FBtr0082117,mura
FBtr0082116,mura
FBtr0082118,mura
FBtr0085011,Hex-t2
FBtr0081174,CG10702
FBtr0081175,CG10702
FBtr0303241,CG10702
FBtr0081176,CG10702
FBtr0305129,CG18213
FBtr0339156,CG18213
FBtr0339157,CG18213
FBtr0071784,Swim
FBtr0071785,Swim
FBtr0089148,CG2316
FBtr0089147,CG2316
FBtr0089150,CG2316
FBtr0089146,CG2316
FBtr0308247,CG2316
FBtr0089149,CG2316
FBtr0347332,CR46099
FBtr0347424,CR46154
FBtr0302559,CG42661
FBtr0346506,CG42661
FBtr0077872,tRNA:Gly-GCC-1-1
FBtr0302190,Hsepi
FBtr0086145,Hsepi
FBtr0306281,CG43229
FBtr0306280,CG43229
FBtr0306258,prominin-like
FBtr0073119,prominin-like
FBtr0073120,prominin-like
FBtr0073118,prominin-like
FBtr0337055,prominin-like
FBtr0333895,prominin-like
FBtr0337056,prominin-like
FBtr0077442,CG15436
FBtr0076018,Adk1
FBtr0076017,Adk1
